"","year","state","house.income","labor.pop","unem.rate","min.wage"
"1",1985,"Alabama",18333,1804882,9.5,3.35
"2",1986,"Alabama",19132,1852269,9.7,3.35
"3",1987,"Alabama",19734,1867330,8.1,3.35
"4",1988,"Alabama",19948,1874512,7.2,3.35
"5",1989,"Alabama",21284,1899124,7.1,3.35
"6",1990,"Alabama",23357,1910481,6.7,3.35
"7",1991,"Alabama",24346,1924056,7.3,3.8
"8",1992,"Alabama",25808,1962311,7.6,4.25
"9",1993,"Alabama",25082,1996532,7.3,4.25
"10",1994,"Alabama",27196,2033548,6.1,4.25
"11",1995,"Alabama",25991,2065988,6,4.25
"12",1996,"Alabama",30302,2091357,5.2,4.25
"13",1997,"Alabama",31939,2132295,5,4.75
"14",1998,"Alabama",36266,2142084,4.4,5.15
"15",1999,"Alabama",36251,2149868,4.8,5.15
"16",2000,"Alabama",35424,2147173,4.6,5.15
"17",2001,"Alabama",35160,2128027,5,5.15
"18",2002,"Alabama",37603,2112621,5.9,5.15
"19",2003,"Alabama",37255,2128668,6.1,5.15
"20",2004,"Alabama",36629,2138306,5.7,5.15
"21",2005,"Alabama",37150,2140356,4.4,5.15
"22",2006,"Alabama",37952,2170007,4,5.15
"23",2007,"Alabama",42212,2180448,4,5.15
"24",2008,"Alabama",44476,2176854,5.6,5.85
"25",2009,"Alabama",39980,2156593,10.2,6.55
"26",2010,"Alabama",40933,2197028,10.1,7.25
"27",2011,"Alabama",42590,2202337,9.8,7.25
"28",2012,"Alabama",43464,2178508,8.3,7.25
"29",2013,"Alabama",47320,2172102,7.3,7.25
"30",2014,"Alabama",42278,2164715,6.8,7.25
"31",2015,"Alabama",44509,2152295,6.2,7.25
"32",2016,"Alabama",47221,2155729,5.9,7.25
"33",2017,"Alabama",50865,2172455,4.5,7.25
"34",2018,"Alabama",49936,2207019,4,7.25
"35",1985,"Alaska",34782,249601,9.9,3.85
"36",1986,"Alaska",31356,254814,11.4,3.85
"37",1987,"Alaska",33233,249574,10.2,3.85
"38",1988,"Alaska",33103,250991,8.8,3.85
"39",1989,"Alaska",36006,257917,6.8,3.85
"40",1990,"Alaska",39298,270484,7.2,3.85
"41",1991,"Alaska",40612,276211,8.3,4.3
"42",1992,"Alaska",41802,286421,9,4.75
"43",1993,"Alaska",42931,294093,7.8,4.75
"44",1994,"Alaska",45367,300786,7.7,4.75
"45",1995,"Alaska",47954,302756,7.3,4.75
"46",1996,"Alaska",52779,308564,7.4,4.75
"47",1997,"Alaska",47994,312264,7,5.25
"48",1998,"Alaska",50692,315314,6.3,5.65
"49",1999,"Alaska",51396,318295,6.5,5.65
"50",2000,"Alaska",52847,319777,6.4,5.65
"51",2001,"Alaska",57363,321652,6.1,5.65
"52",2002,"Alaska",52774,327054,7.2,5.65
"53",2003,"Alaska",51837,332494,7.8,7.15
"54",2004,"Alaska",55063,337469,7.5,7.15
"55",2005,"Alaska",55891,344157,6.8,7.15
"56",2006,"Alaska",56418,348756,6.7,7.15
"57",2007,"Alaska",62993,350233,6.3,7.15
"58",2008,"Alaska",63989,355298,6.5,7.15
"59",2009,"Alaska",61604,359379,8.1,7.15
"60",2010,"Alaska",57848,361707,8,7.75
"61",2011,"Alaska",57431,364599,7.7,7.75
"62",2012,"Alaska",63648,364153,7.3,7.75
"63",2013,"Alaska",72472,363544,7,7.75
"64",2014,"Alaska",67629,364281,6.9,7.75
"65",2015,"Alaska",75112,362425,6.3,8.75
"66",2016,"Alaska",75723,362017,6.6,9.75
"67",2017,"Alaska",77987,361225,6.5,9.8
"68",2018,"Alaska",68734,356199,5.9,9.84
"69",1985,"Arizona",23877,1490450,6.6,3.35
"70",1986,"Arizona",25500,1569107,7.1,3.35
"71",1987,"Arizona",26749,1612643,6.4,3.35
"72",1988,"Arizona",26435,1662698,6.6,3.35
"73",1989,"Arizona",28552,1710093,5.3,3.35
"74",1990,"Arizona",29224,1785713,5.3,3.35
"75",1991,"Arizona",30737,1808277,5.5,3.8
"76",1992,"Arizona",29358,1875439,7.7,4.25
"77",1993,"Arizona",30510,1941133,6.2,4.25
"78",1994,"Arizona",31293,2105320,6.4,4.25
"79",1995,"Arizona",30863,2236926,5.4,4.25
"80",1996,"Arizona",31637,2287146,5.6,4.25
"81",1997,"Arizona",32740,2304915,4.5,4.75
"82",1998,"Arizona",37090,2389188,4.2,5.15
"83",1999,"Arizona",36995,2482545,4.6,5.15
"84",2000,"Arizona",39783,2510611,4,5.15
"85",2001,"Arizona",42704,2593664,4.4,5.15
"86",2002,"Arizona",39734,2683502,6.2,5.15
"87",2003,"Arizona",41166,2728649,5.9,5.15
"88",2004,"Arizona",43846,2788618,5,5.15
"89",2005,"Arizona",45245,2862517,4.7,5.15
"90",2006,"Arizona",46657,2970679,4.4,5.15
"91",2007,"Arizona",47215,3018805,3.5,6.75
"92",2008,"Arizona",46914,3095993,5.5,6.9
"93",2009,"Arizona",45739,3128891,9.7,7.25
"94",2010,"Arizona",46896,3096316,10.3,7.25
"95",2011,"Arizona",48621,3051937,9.6,7.35
"96",2012,"Arizona",47044,3054343,8.4,7.65
"97",2013,"Arizona",52611,3064554,7.9,7.8
"98",2014,"Arizona",49254,3118441,6.8,7.9
"99",2015,"Arizona",52248,3184445,6.1,8.05
"100",2016,"Arizona",57100,3253468,5.5,8.05
"101",2017,"Arizona",59700,3329618,4.9,10
"102",2018,"Arizona",62283,3428064,4.7,10.5
"103",1985,"Arkansas",17451,1054661,8.5,3.35
"104",1986,"Arkansas",18730,1072750,8.5,3.35
"105",1987,"Arkansas",18827,1092648,8.1,3.35
"106",1988,"Arkansas",20172,1107912,7.7,3.35
"107",1989,"Arkansas",21433,1123387,7.1,3.35
"108",1990,"Arkansas",22786,1130225,6.7,3.35
"109",1991,"Arkansas",23435,1136108,7.3,3.8
"110",1992,"Arkansas",23882,1159463,7.1,4.25
"111",1993,"Arkansas",23039,1174395,6.2,4.25
"112",1994,"Arkansas",25565,1206333,5.5,4.25
"113",1995,"Arkansas",25814,1222813,4.8,4.25
"114",1996,"Arkansas",27123,1237579,5.2,4.25
"115",1997,"Arkansas",26162,1239502,5.1,4.75
"116",1998,"Arkansas",27665,1244905,5,5.15
"117",1999,"Arkansas",29682,1256804,4.6,5.15
"118",2000,"Arkansas",29697,1260507,4.1,5.15
"119",2001,"Arkansas",33339,1261419,4.7,5.15
"120",2002,"Arkansas",32387,1276964,5.3,5.15
"121",2003,"Arkansas",32002,1282578,5.9,5.15
"122",2004,"Arkansas",34984,1302378,5.6,5.15
"123",2005,"Arkansas",36658,1333880,5.2,5.15
"124",2006,"Arkansas",37057,1346532,5.3,5.15
"125",2007,"Arkansas",40795,1350811,5.5,6.25
"126",2008,"Arkansas",39586,1357716,5.1,6.25
"127",2009,"Arkansas",36538,1353340,7.9,6.55
"128",2010,"Arkansas",38587,1353635,7.9,7.25
"129",2011,"Arkansas",41302,1357819,8,7.25
"130",2012,"Arkansas",39018,1349888,7.3,7.25
"131",2013,"Arkansas",39376,1331609,7.1,7.25
"132",2014,"Arkansas",44922,1327959,5.9,7.25
"133",2015,"Arkansas",42798,1339301,5.1,7.5
"134",2016,"Arkansas",45907,1343891,4,8
"135",2017,"Arkansas",49751,1350036,3.7,8.5
"136",2018,"Arkansas",49781,1352670,3.6,8.5
"137",1985,"California",26981,12968975,7.3,3.35
"138",1986,"California",29010,13337468,6.8,3.35
"139",1987,"California",30146,13740589,5.8,3.35
"140",1988,"California",30287,14135934,5.3,3.35
"141",1989,"California",33009,14537086,5.1,3.35
"142",1990,"California",33290,15141715,5.5,3.35
"143",1991,"California",33664,15130481,7.8,4.25
"144",1992,"California",34903,15303861,9.4,4.25
"145",1993,"California",34073,15262269,9.6,4.25
"146",1994,"California",35331,15266381,8.7,4.25
"147",1995,"California",37009,15272582,8,4.25
"148",1996,"California",38812,15399748,7.4,4.25
"149",1997,"California",39694,15806263,6.4,4.75
"150",1998,"California",40934,16174071,5.9,5.15
"151",1999,"California",43629,16444135,5.3,5.15
"152",2000,"California",46816,16837536,5,5.75
"153",2001,"California",47262,17096428,5.2,6.25
"154",2002,"California",47437,17246528,6.8,6.75
"155",2003,"California",49300,17271899,7,6.75
"156",2004,"California",49222,17374506,6.3,6.75
"157",2005,"California",51755,17537931,5.3,6.75
"158",2006,"California",55319,17661179,4.9,6.75
"159",2007,"California",55734,17910726,5.2,7.5
"160",2008,"California",57014,18179907,7,8
"161",2009,"California",56134,18305953,11.7,8
"162",2010,"California",54283,18370536,12.4,8
"163",2011,"California",53367,18406756,12,8
"164",2012,"California",57020,18484881,10.7,8
"165",2013,"California",60794,18565408,9.1,8
"166",2014,"California",60487,18676692,7.6,9
"167",2015,"California",63636,18824141,6.3,9
"168",2016,"California",66637,19012017,5.5,10
"169",2017,"California",70038,19173778,4.8,10
"170",2018,"California",70489,19263895,4.2,11
"171",1985,"Colorado",28182,1710753,5.9,3.35
"172",1986,"Colorado",27192,1705113,7.4,3.35
"173",1987,"Colorado",26476,1702950,7.6,3.35
"174",1988,"Colorado",26214,1706310,6.4,3.35
"175",1989,"Colorado",26806,1711102,5.6,3.35
"176",1990,"Colorado",30733,1771283,5.2,3.35
"177",1991,"Colorado",31499,1802962,5.2,3.8
"178",1992,"Colorado",32484,1847634,6.2,4.25
"179",1993,"Colorado",34488,1929295,5.4,4.25
"180",1994,"Colorado",37833,2036075,4.2,4.25
"181",1995,"Colorado",40706,2125533,4.1,4.25
"182",1996,"Colorado",40950,2157862,4.3,4.25
"183",1997,"Colorado",43233,2214834,3.2,4.75
"184",1998,"Colorado",46599,2304973,3.7,5.15
"185",1999,"Colorado",48177,2337540,3.1,5.15
"186",2000,"Colorado",48240,2358371,2.8,5.15
"187",2001,"Colorado",49397,2396012,3.4,5.15
"188",2002,"Colorado",48294,2448903,5.6,5.15
"189",2003,"Colorado",49940,2490397,6.3,5.15
"190",2004,"Colorado",50886,2539389,5.5,5.15
"191",2005,"Colorado",50449,2572382,5.1,5.15
"192",2006,"Colorado",55697,2640452,4.4,5.15
"193",2007,"Colorado",61141,2687742,3.5,6.85
"194",2008,"Colorado",60943,2734398,4.7,7.02
"195",2009,"Colorado",55930,2730604,8.1,7.28
"196",2010,"Colorado",60233,2715723,9,7.25
"197",2011,"Colorado",58629,2730262,8.7,7.36
"198",2012,"Colorado",57255,2749192,8.2,7.64
"199",2013,"Colorado",67912,2766140,6.8,7.78
"200",2014,"Colorado",60940,2800666,5,8
"201",2015,"Colorado",66596,2825761,3.8,8.23
"202",2016,"Colorado",70566,2894157,3.2,8.31
"203",2017,"Colorado",74984,2982495,2.5,9.3
"204",2018,"Colorado",73034,3071396,3.1,10.2
"205",1985,"Connecticut",31090,1702636,4.5,3.37
"206",1986,"Connecticut",32721,1733909,3.8,3.37
"207",1987,"Connecticut",32862,1747296,3.1,3.37
"208",1988,"Connecticut",36213,1746477,2.8,3.75
"209",1989,"Connecticut",42321,1768762,3.5,3.75
"210",1990,"Connecticut",38870,1817089,4.8,3.75
"211",1991,"Connecticut",42154,1828627,6.6,4.25
"212",1992,"Connecticut",40841,1818780,7.4,4.27
"213",1993,"Connecticut",39516,1794548,6.6,4.27
"214",1994,"Connecticut",41097,1758522,5.5,4.27
"215",1995,"Connecticut",40243,1740557,5.4,4.27
"216",1996,"Connecticut",42119,1749240,5.2,4.27
"217",1997,"Connecticut",43985,1754598,4.8,4.77
"218",1998,"Connecticut",46508,1740279,3.2,5.18
"219",1999,"Connecticut",50593,1744020,2.5,5.18
"220",2000,"Connecticut",50172,1760697,2.1,6.15
"221",2001,"Connecticut",53347,1749195,2.8,6.4
"222",2002,"Connecticut",53387,1776064,4.3,6.7
"223",2003,"Connecticut",54965,1785737,5.6,6.9
"224",2004,"Connecticut",55100,1777510,5.1,7.1
"225",2005,"Connecticut",56835,1794301,4.8,7.1
"226",2006,"Connecticut",62404,1831083,4.4,7.4
"227",2007,"Connecticut",64141,1856008,4.4,7.65
"228",2008,"Connecticut",64682,1878120,5.5,7.65
"229",2009,"Connecticut",64851,1888374,8.3,8
"230",2010,"Connecticut",65998,1911289,9.5,8.25
"231",2011,"Connecticut",65415,1914449,9.1,8.25
"232",2012,"Connecticut",64247,1887545,8.4,8.25
"233",2013,"Connecticut",69291,1867378,8.1,8.25
"234",2014,"Connecticut",70161,1889102,6.6,8.7
"235",2015,"Connecticut",72889,1892087,5.6,9.15
"236",2016,"Connecticut",75923,1893200,4.9,9.6
"237",2017,"Connecticut",74304,1903348,4.4,10.1
"238",2018,"Connecticut",72812,1905382,3.9,10.1
"239",1985,"Delaware",22980,316616,5.2,3.35
"240",1986,"Delaware",25626,324432,4.5,3.35
"241",1987,"Delaware",29244,333239,3,3.35
"242",1988,"Delaware",30505,347343,2.9,3.35
"243",1989,"Delaware",32068,357909,3.4,3.35
"244",1990,"Delaware",30804,360126,3.6,3.35
"245",1991,"Delaware",32585,362077,5.9,3.8
"246",1992,"Delaware",35678,366987,5.3,4.25
"247",1993,"Delaware",36064,375853,4.9,4.25
"248",1994,"Delaware",35873,384251,4.8,4.25
"249",1995,"Delaware",34928,385976,4.2,4.25
"250",1996,"Delaware",39309,388837,4.8,4.65
"251",1997,"Delaware",43033,389712,4.1,5
"252",1998,"Delaware",41458,396044,3.6,5.15
"253",1999,"Delaware",46628,400120,3.3,5.15
"254",2000,"Delaware",50365,412956,3.7,5.65
"255",2001,"Delaware",49602,421563,3.3,6.15
"256",2002,"Delaware",49650,417207,4.3,6.15
"257",2003,"Delaware",49019,415890,4.6,6.15
"258",2004,"Delaware",48049,421093,4.3,6.15
"259",2005,"Delaware",51235,433375,4.5,6.15
"260",2006,"Delaware",52438,443228,4,6.15
"261",2007,"Delaware",54589,445306,3.5,6.65
"262",2008,"Delaware",50702,450265,4.7,7.15
"263",2009,"Delaware",52114,438383,8.4,7.15
"264",2010,"Delaware",55214,436196,8.6,7.25
"265",2011,"Delaware",54660,443971,7.7,7.25
"266",2012,"Delaware",48972,445962,7.1,7.25
"267",2013,"Delaware",54091,443551,6.7,7.25
"268",2014,"Delaware",57522,452712,5.7,7.75
"269",2015,"Delaware",57756,462752,4.8,8.25
"270",2016,"Delaware",58046,468808,4.5,8.25
"271",2017,"Delaware",64961,475671,4.4,8.25
"272",2018,"Delaware",65012,481179,3.6,8.25
"273",1985,"Florida",21343,5339493,6.2,3.35
"274",1986,"Florida",22849,5579374,5.9,3.35
"275",1987,"Florida",24489,5860506,5.4,3.35
"276",1988,"Florida",25406,6074954,5.1,3.35
"277",1989,"Florida",26085,6259000,5.6,3.35
"278",1990,"Florida",26685,6482725,6.1,3.35
"279",1991,"Florida",27252,6510989,7.6,3.8
"280",1992,"Florida",27349,6626483,8.5,4.25
"281",1993,"Florida",28550,6762182,7.4,4.25
"282",1994,"Florida",29294,6935038,6.6,4.25
"283",1995,"Florida",29745,7041153,5.6,4.25
"284",1996,"Florida",30641,7179271,5.3,4.25
"285",1997,"Florida",32455,7385282,4.9,4.75
"286",1998,"Florida",34909,7549879,4.5,5.15
"287",1999,"Florida",35831,7702482,4,5.15
"288",2000,"Florida",38856,7917857,3.8,5.15
"289",2001,"Florida",36421,8048882,4.2,5.15
"290",2002,"Florida",38024,8050051,5,5.15
"291",2003,"Florida",38972,8123135,4.6,5.15
"292",2004,"Florida",40535,8347316,3.8,5.15
"293",2005,"Florida",42990,8647279,2.8,5.15
"294",2006,"Florida",45676,8927098,2.4,6.4
"295",2007,"Florida",45794,9113604,3.2,6.67
"296",2008,"Florida",44857,9156458,5.5,6.79
"297",2009,"Florida",45631,8987789,9.7,7.21
"298",2010,"Florida",44066,9147107,10.8,7.25
"299",2011,"Florida",45105,9260348,10.1,7.25
"300",2012,"Florida",46071,9335727,8.8,7.67
"301",2013,"Florida",48532,9414664,7.6,7.79
"302",2014,"Florida",46140,9546407,6.5,7.93
"303",2015,"Florida",48825,9639737,5.6,8.05
"304",2016,"Florida",51176,9841301,4.9,8.05
"305",2017,"Florida",53086,10032422,4.2,8.1
"306",2018,"Florida",54644,10166231,3.6,8.25
"307",1985,"Georgia",21049,2874345,6.6,3.35
"308",1986,"Georgia",24370,2979197,6,3.35
"309",1987,"Georgia",26714,3057532,5.4,3.35
"310",1988,"Georgia",26566,3147975,5.6,3.35
"311",1989,"Georgia",27542,3208172,5.5,3.35
"312",1990,"Georgia",27561,3290128,5.3,3.35
"313",1991,"Georgia",27212,3315973,5.3,3.8
"314",1992,"Georgia",28797,3421655,6.9,4.25
"315",1993,"Georgia",31663,3501845,5.7,4.25
"316",1994,"Georgia",31467,3606992,5.1,4.25
"317",1995,"Georgia",34099,3689479,4.9,4.25
"318",1996,"Georgia",32496,3806941,4.5,4.25
"319",1997,"Georgia",36663,3944461,4.5,4.75
"320",1998,"Georgia",38665,4047860,4.2,5.15
"321",1999,"Georgia",39425,4129058,3.8,5.15
"322",2000,"Georgia",41901,4202695,3.6,5.15
"323",2001,"Georgia",42576,4257901,3.8,5.15
"324",2002,"Georgia",42939,4341617,5.3,5.15
"325",2003,"Georgia",42438,4414282,5.3,5.15
"326",2004,"Georgia",40984,4464780,5,5.15
"327",2005,"Georgia",45926,4598159,5.7,5.15
"328",2006,"Georgia",49344,4713863,5.1,5.15
"329",2007,"Georgia",48641,4810264,4.8,5.15
"330",2008,"Georgia",46227,4863225,6.4,5.85
"331",2009,"Georgia",43340,4792150,10.6,6.55
"332",2010,"Georgia",44117,4709781,10.5,7.25
"333",2011,"Georgia",45973,4739281,10.3,7.25
"334",2012,"Georgia",48121,4770618,9.1,7.25
"335",2013,"Georgia",46992,4750046,8.2,7.25
"336",2014,"Georgia",49555,4745859,7.3,7.25
"337",2015,"Georgia",50768,4734088,6.1,7.25
"338",2016,"Georgia",53527,4921814,5.4,7.25
"339",2017,"Georgia",57985,5106156,4.8,7.25
"340",2018,"Georgia",55821,5118256,4,7.25
"341",1985,"Hawaii",28961,481644,5.3,3.35
"342",1986,"Hawaii",29003,493152,4.8,3.35
"343",1987,"Hawaii",35022,511531,3.8,3.35
"344",1988,"Hawaii",33024,518264,3,3.85
"345",1989,"Hawaii",35035,530024,2.3,3.85
"346",1990,"Hawaii",38921,550484,2.6,3.85
"347",1991,"Hawaii",37246,564852,2.7,3.85
"348",1992,"Hawaii",42113,576944,4.2,4.25
"349",1993,"Hawaii",42662,582121,4.2,4.25
"350",1994,"Hawaii",42255,583221,5.2,5.25
"351",1995,"Hawaii",42851,585368,5.6,5.25
"352",1996,"Hawaii",41772,594972,5.9,5.25
"353",1997,"Hawaii",40934,601737,6,5.25
"354",1998,"Hawaii",40827,602650,5.9,5.25
"355",1999,"Hawaii",44504,603670,5.3,5.25
"356",2000,"Hawaii",51546,605395,4.3,5.25
"357",2001,"Hawaii",47439,607556,4.1,5.25
"358",2002,"Hawaii",47303,601786,4,5.75
"359",2003,"Hawaii",51834,603936,4.1,6.25
"360",2004,"Hawaii",56242,611752,3.2,6.25
"361",2005,"Hawaii",59586,625530,2.7,6.25
"362",2006,"Hawaii",60470,635415,2.7,6.75
"363",2007,"Hawaii",64022,636710,2.7,7.25
"364",2008,"Hawaii",61521,641526,3.8,7.25
"365",2009,"Hawaii",55649,631970,6.8,7.25
"366",2010,"Hawaii",59539,648549,6.8,7.25
"367",2011,"Hawaii",59047,660634,6.9,7.25
"368",2012,"Hawaii",56263,650415,6.1,7.25
"369",2013,"Hawaii",64235,650978,4.7,7.25
"370",2014,"Hawaii",71223,664014,4.3,7.25
"371",2015,"Hawaii",64514,670594,3.4,7.75
"372",2016,"Hawaii",72133,679121,2.9,8.5
"373",2017,"Hawaii",73599,679783,2.2,9.25
"374",2018,"Hawaii",80108,675187,2.3,10.1
"375",1985,"Idaho",20761,466831,7.9,3.35
"376",1986,"Idaho",20749,472247,8.5,3.35
"377",1987,"Idaho",20755,472236,7.7,3.35
"378",1988,"Idaho",23450,479331,6.2,3.35
"379",1989,"Idaho",24654,490404,5.5,3.35
"380",1990,"Idaho",25305,494169,5.6,3.35
"381",1991,"Idaho",26116,509647,6.3,3.8
"382",1992,"Idaho",27704,529651,6.6,4.25
"383",1993,"Idaho",31010,551298,6.2,4.25
"384",1994,"Idaho",31536,587593,5.4,4.25
"385",1995,"Idaho",32676,602000,5.5,4.25
"386",1996,"Idaho",34709,617087,5.4,4.25
"387",1997,"Idaho",33404,632640,5.2,4.75
"388",1998,"Idaho",36680,651254,5.2,5.15
"389",1999,"Idaho",35800,653982,5.1,5.15
"390",2000,"Idaho",37611,661066,4.7,5.15
"391",2001,"Idaho",38241,678281,5,5.15
"392",2002,"Idaho",37715,685650,5.6,5.15
"393",2003,"Idaho",42372,691702,5.7,5.15
"394",2004,"Idaho",44358,702872,4.9,5.15
"395",2005,"Idaho",44176,730354,4,5.15
"396",2006,"Idaho",46213,744475,3.5,5.15
"397",2007,"Idaho",49184,755287,2.9,5.15
"398",2008,"Idaho",47420,759676,5.1,5.85
"399",2009,"Idaho",46778,763633,9.1,6.55
"400",2010,"Idaho",47050,762147,8.7,7.25
"401",2011,"Idaho",47459,764205,8.3,7.25
"402",2012,"Idaho",47922,772112,7.5,7.25
"403",2013,"Idaho",48467,777606,6.9,7.25
"404",2014,"Idaho",53438,776937,4,7.25
"405",2015,"Idaho",51624,795014,3.9,7.25
"406",2016,"Idaho",56564,812921,3.7,7.25
"407",2017,"Idaho",59497,833996,3.1,7.25
"408",2018,"Idaho",58728,855263,2.7,7.25
"409",1985,"Illinois",24870,5659777,9.2,3.35
"410",1986,"Illinois",26511,5693266,8.4,3.35
"411",1987,"Illinois",27084,5764392,7.5,3.35
"412",1988,"Illinois",29524,5839006,6.8,3.35
"413",1989,"Illinois",31300,5994480,5.9,3.35
"414",1990,"Illinois",32542,5928974,6.2,3.35
"415",1991,"Illinois",31884,5929544,7.1,3.8
"416",1992,"Illinois",31551,6028864,8.1,4.25
"417",1993,"Illinois",32857,6078012,7.8,4.25
"418",1994,"Illinois",35081,6112726,5.8,4.25
"419",1995,"Illinois",38071,6173214,5.2,4.25
"420",1996,"Illinois",39554,6244016,5.4,4.25
"421",1997,"Illinois",41283,6296315,4.6,4.75
"422",1998,"Illinois",43178,6339411,4.3,5.15
"423",1999,"Illinois",46330,6463079,4.6,5.15
"424",2000,"Illinois",46064,6494429,4.4,5.15
"425",2001,"Illinois",46171,6454092,5.3,5.15
"426",2002,"Illinois",42710,6341891,6.6,5.15
"427",2003,"Illinois",45153,6310520,6.8,5.15
"428",2004,"Illinois",46077,6348716,6.2,5.5
"429",2005,"Illinois",48398,6410767,5.8,6.5
"430",2006,"Illinois",48671,6515687,4.5,6.5
"431",2007,"Illinois",52506,6639198,5,7.5
"432",2008,"Illinois",53254,6652942,6.4,7.75
"433",2009,"Illinois",52870,6601620,10.3,8
"434",2010,"Illinois",50728,6612433,10.4,8.25
"435",2011,"Illinois",50637,6567531,9.9,8.25
"436",2012,"Illinois",51738,6583689,9.1,8.25
"437",2013,"Illinois",53937,6556593,9.2,8.25
