"","year","state","house.income","labor.pop","unem.rate","min.wage"
"1287",2013,"Pennsylvania",55156,6421174,7.1,7.25
"1288",2014,"Pennsylvania",55173,6388980,6,7.25
"1289",2015,"Pennsylvania",60389,6423542,5.4,7.25
"1290",2016,"Pennsylvania",60979,6459696,5.4,7.25
"1291",2017,"Pennsylvania",61285,6420767,4.9,7.25
"1292",2018,"Pennsylvania",64524,6432204,4.4,7.25
"1293",1985,"Rhode Island",24625,4985634,4.8,3.35
"1294",1986,"Rhode Island",26540,505875,4.1,3.35
"1295",1987,"Rhode Island",28292,514212,3.8,3.35
"1296",1988,"Rhode Island",29842,516750,2.8,3.65
"1297",1989,"Rhode Island",30124,518905,3.6,3.65
"1298",1990,"Rhode Island",31968,523457,6.2,3.65
"1299",1991,"Rhode Island",30836,525340,8.5,4.25
"1300",1992,"Rhode Island",30432,530184,9.2,4.45
"1301",1993,"Rhode Island",33509,524322,7.5,4.45
"1302",1994,"Rhode Island",31928,514709,6.6,4.45
"1303",1995,"Rhode Island",35359,511702,6.6,4.45
"1304",1996,"Rhode Island",36986,518494,5,4.45
"1305",1997,"Rhode Island",34797,531522,5.4,5.15
"1306",1998,"Rhode Island",40686,532199,4.5,5.15
"1307",1999,"Rhode Island",42719,539991,4.2,5.15
"1308",2000,"Rhode Island",42197,542661,4,5.65
"1309",2001,"Rhode Island",45723,541657,4.5,6.15
"1310",2002,"Rhode Island",42417,550395,4.9,6.15
"1311",2003,"Rhode Island",44711,560631,5.6,6.15
"1312",2004,"Rhode Island",47935,555610,5.4,6.75
"1313",2005,"Rhode Island",49484,563342,5,6.75
"1314",2006,"Rhode Island",53736,571605,5.3,6.75
"1315",2007,"Rhode Island",54210,571058,4.9,7.4
"1316",2008,"Rhode Island",53241,568367,7.3,7.4
"1317",2009,"Rhode Island",51634,571261,11.6,7.4
"1318",2010,"Rhode Island",51623,571356,11.6,7.4
"1319",2011,"Rhode Island",49033,561982,11,7.4
"1320",2012,"Rhode Island",56065,560314,10.4,7.4
"1321",2013,"Rhode Island",56323,558853,9.6,7.75
"1322",2014,"Rhode Island",58633,556751,7.8,8
"1323",2015,"Rhode Island",55701,555147,6,9
"1324",2016,"Rhode Island",61528,553421,5.3,9.6
"1325",2017,"Rhode Island",65401,555791,4.4,9.6
"1326",2018,"Rhode Island",62266,558216,4,10.1
"1327",1985,"South Carolina",20036,1548854,7,3.35
"1328",1986,"South Carolina",21968,1592257,6.4,3.35
"1329",1987,"South Carolina",25049,1631575,5.4,3.35
"1330",1988,"South Carolina",25533,1660897,4.7,3.35
"1331",1989,"South Carolina",23798,1693311,4.6,3.35
"1332",1990,"South Carolina",28735,1737923,4.8,3.35
"1333",1991,"South Carolina",27463,1767197,6,3.8
"1334",1992,"South Carolina",27578,1799854,6.7,4.25
"1335",1993,"South Carolina",26053,1826920,7.6,4.25
"1336",1994,"South Carolina",29846,1841009,6.2,4.25
"1337",1995,"South Carolina",29071,1863859,5,4.25
"1338",1996,"South Carolina",34665,1886509,5.8,4.25
"1339",1997,"South Carolina",34262,1920584,4.6,4.75
"1340",1998,"South Carolina",33267,1941152,4.6,5.15
"1341",1999,"South Carolina",36462,1958587,4.1,5.15
"1342",2000,"South Carolina",37570,1965860,3.7,5.15
"1343",2001,"South Carolina",37736,1941372,5.2,5.15
"1344",2002,"South Carolina",37812,1954964,6.3,5.15
"1345",2003,"South Carolina",38479,1999162,7.3,5.15
"1346",2004,"South Carolina",38691,2043292,7.5,5.15
"1347",2005,"South Carolina",40230,2070940,7.2,5.15
"1348",2006,"South Carolina",39617,2148866,7,5.15
"1349",2007,"South Carolina",44213,2155184,6,5.15
"1350",2008,"South Carolina",42155,2160368,6.9,5.85
"1351",2009,"South Carolina",41101,2167345,11.5,6.55
"1352",2010,"South Carolina",41698,2173901,11.2,7.25
"1353",2011,"South Carolina",40084,2185412,10.7,7.25
"1354",2012,"South Carolina",44401,2190562,9.2,7.25
"1355",2013,"South Carolina",43563,2198242,7.5,7.25
"1356",2014,"South Carolina",44929,2222607,6.2,7.25
"1357",2015,"South Carolina",46360,2268262,6,7.25
"1358",2016,"South Carolina",54336,2286257,5,7.25
"1359",2017,"South Carolina",54537,2297098,4.1,7.25
"1360",2018,"South Carolina",57444,2320516,3.3,7.25
"1361",1985,"South Dakota",18142,346068,4.9,3.35
"1362",1986,"South Dakota",19898,350082,4.7,3.35
"1363",1987,"South Dakota",21151,352715,4.3,3.35
"1364",1988,"South Dakota",22294,357016,4,3.35
"1365",1989,"South Dakota",24108,360911,3.9,3.35
"1366",1990,"South Dakota",24571,349285,3.6,3.35
"1367",1991,"South Dakota",24639,354237,3.6,3.8
"1368",1992,"South Dakota",26259,360919,3.5,4.25
"1369",1993,"South Dakota",27737,367202,3.5,4.25
"1370",1994,"South Dakota",29733,376541,3.3,4.25
"1371",1995,"South Dakota",29578,385627,3.2,4.25
"1372",1996,"South Dakota",29526,390461,3.3,4.25
"1373",1997,"South Dakota",29694,393946,2.9,4.75
"1374",1998,"South Dakota",32786,398060,2.8,5.15
"1375",1999,"South Dakota",35828,403472,2.8,5.15
"1376",2000,"South Dakota",36475,408507,2.5,5.15
"1377",2001,"South Dakota",39671,413393,2.9,5.15
"1378",2002,"South Dakota",37873,416897,3.2,5.15
"1379",2003,"South Dakota",39522,421433,3.5,5.15
"1380",2004,"South Dakota",41107,425939,3.6,5.15
"1381",2005,"South Dakota",43151,429250,3.6,5.15
"1382",2006,"South Dakota",45427,432784,3,5.15
"1383",2007,"South Dakota",46418,366374,2.8,5.15
"1384",2008,"South Dakota",51600,439213,2.9,5.85
"1385",2009,"South Dakota",45826,441458,4.7,6.55
"1386",2010,"South Dakota",45352,443635,4.9,7.25
"1387",2011,"South Dakota",47223,445800,4.6,7.25
"1388",2012,"South Dakota",49415,447124,4.1,7.25
"1389",2013,"South Dakota",53413,447596,3.7,7.25
"1390",2014,"South Dakota",53053,450720,3.3,7.25
"1391",2015,"South Dakota",55065,453124,3.1,8.5
"1392",2016,"South Dakota",57450,455103,3,8.55
"1393",2017,"South Dakota",56914,456796,3.1,8.65
"1394",2018,"South Dakota",59463,458909,2.8,8.85
"1395",1985,"Tennessee",17778,2252721,8,3.35
"1396",1986,"Tennessee",18256,2293188,8,3.35
"1397",1987,"Tennessee",21179,2330070,6.8,3.35
"1398",1988,"Tennessee",20856,2334524,5.8,3.35
"1399",1989,"Tennessee",22611,2363359,5,3.35
"1400",1990,"Tennessee",22592,2397807,5.2,3.35
"1401",1991,"Tennessee",24453,2419414,6.6,3.8
"1402",1992,"Tennessee",24318,2468144,6.4,4.25
"1403",1993,"Tennessee",25102,2535429,6,4.25
"1404",1994,"Tennessee",28639,2656783,4.8,4.25
"1405",1995,"Tennessee",29015,2723814,5.4,4.25
"1406",1996,"Tennessee",30790,2762709,5,4.25
"1407",1997,"Tennessee",30636,2780898,5.4,4.75
"1408",1998,"Tennessee",34091,2810728,4.3,5.15
"1409",1999,"Tennessee",36522,2844169,3.9,5.15
"1410",2000,"Tennessee",34096,2849349,3.9,5.15
"1411",2001,"Tennessee",35783,2857508,4.3,5.15
"1412",2002,"Tennessee",37030,2898824,5.1,5.15
"1413",2003,"Tennessee",37523,2904921,5.7,5.15
"1414",2004,"Tennessee",38072,2895817,5.2,5.15
"1415",2005,"Tennessee",39406,2899068,5.4,5.15
"1416",2006,"Tennessee",40693,3014542,5.5,5.15
"1417",2007,"Tennessee",41195,3043346,4.3,5.15
"1418",2008,"Tennessee",39702,3061115,6.4,5.85
"1419",2009,"Tennessee",40517,3033549,10.4,6.55
"1420",2010,"Tennessee",38591,3093426,9.6,7.25
"1421",2011,"Tennessee",42279,3116957,9.2,7.25
"1422",2012,"Tennessee",42995,3096360,8,7.25
"1423",2013,"Tennessee",43361,3079368,7.9,7.25
"1424",2014,"Tennessee",43716,3043608,6.7,7.25
"1425",2015,"Tennessee",47330,3074360,5.7,7.25
"1426",2016,"Tennessee",51344,3136742,4.7,7.25
"1427",2017,"Tennessee",55306,3167010,3.5,7.25
"1428",2018,"Tennessee",56060,3251398,3.5,7.25
"1429",1985,"Texas",23743,8081938,7.1,3.35
"1430",1986,"Texas",24162,8174323,8.9,3.35
"1431",1987,"Texas",24721,8275364,8.5,3.35
"1432",1988,"Texas",24963,8351637,7.4,3.35
"1433",1989,"Texas",25886,8452252,6.8,3.35
"1434",1990,"Texas",28228,8607913,6.3,3.35
"1435",1991,"Texas",27733,8770370,6.9,3.8
"1436",1992,"Texas",27953,8999534,7.8,4.25
"1437",1993,"Texas",28727,9167771,7.2,4.25
"1438",1994,"Texas",30755,9395665,6.7,4.25
"1439",1995,"Texas",32039,9676081,6.2,4.25
"1440",1996,"Texas",33072,9728404,5.7,4.25
"1441",1997,"Texas",35075,9916036,5.5,4.75
"1442",1998,"Texas",35783,10116789,5,5.15
"1443",1999,"Texas",38688,10268397,4.7,5.15
"1444",2000,"Texas",38609,10388754,4.4,5.15
"1445",2001,"Texas",40860,10536998,4.8,5.15
"1446",2002,"Texas",40149,10743347,6.4,5.15
"1447",2003,"Texas",39271,10909403,6.9,5.15
"1448",2004,"Texas",41397,10995044,6,5.15
"1449",2005,"Texas",41422,11172304,5.3,5.15
"1450",2006,"Texas",43307,11335465,5.2,5.15
"1451",2007,"Texas",46053,11441627,4.3,5.15
"1452",2008,"Texas",46490,11678849,4.7,5.85
"1453",2009,"Texas",47475,11948191,8,6.55
"1454",2010,"Texas",47266,12258425,8.1,7.25
"1455",2011,"Texas",49047,12500076,8.3,7.25
"1456",2012,"Texas",51926,12641404,6.8,7.25
"1457",2013,"Texas",51406,12833158,6.4,7.25
"1458",2014,"Texas",53875,13006808,5.2,7.25
"1459",2015,"Texas",56473,13091904,4.4,7.25
"1460",2016,"Texas",58146,13348141,4.7,7.25
"1461",2017,"Texas",60092,13572514,4.3,7.25
"1462",2018,"Texas",59785,13811799,3.9,7.25
"1463",1985,"Utah",25238,733309,6.1,3.35
"1464",1986,"Utah",26281,751974,6.1,3.35
"1465",1987,"Utah",26529,755883,6.4,3.35
"1466",1988,"Utah",26313,759564,4.9,3.35
"1467",1989,"Utah",30717,786998,4.6,3.35
"1468",1990,"Utah",30142,818466,4.3,3.35
"1469",1991,"Utah",28016,847795,4.8,3.8
"1470",1992,"Utah",34251,882295,4.9,4.25
"1471",1993,"Utah",35786,837150,4.1,4.25
"1472",1994,"Utah",35716,995026,3.7,4.25
"1473",1995,"Utah",36480,1018839,3.4,4.25
"1474",1996,"Utah",37038,1041953,3.3,4.25
"1475",1997,"Utah",42775,1070220,3.1,4.75
"1476",1998,"Utah",44299,1103736,3.6,5.15
"1477",1999,"Utah",46050,1124003,3.6,5.15
"1478",2000,"Utah",47550,1142961,3.3,5.15
"1479",2001,"Utah",47342,1162638,4.2,5.15
"1480",2002,"Utah",47861,1179541,5.7,5.15
"1481",2003,"Utah",49275,1197185,5.6,5.15
"1482",2004,"Utah",50871,1231552,5.1,5.15
"1483",2005,"Utah",54813,1280608,4.1,5.15
"1484",2006,"Utah",54628,1333170,2.9,5.15
"1485",2007,"Utah",53529,1377773,2.5,5.15
"1486",2008,"Utah",62537,1385465,3.2,5.85
"1487",2009,"Utah",58491,1374324,7.3,6.55
"1488",2010,"Utah",56701,1350137,7.9,7.25
"1489",2011,"Utah",55493,1341435,7.7,7.25
"1490",2012,"Utah",58341,1348660,4.8,7.25
"1491",2013,"Utah",61047,1386251,4.2,7.25
"1492",2014,"Utah",63383,1415851,3.6,7.25
"1493",2015,"Utah",66258,1453627,3.5,7.25
"1494",2016,"Utah",67481,1500218,3.4,7.25
"1495",2017,"Utah",69789,1545236,3.2,7.25
"1496",2018,"Utah",77067,1573600,2.9,7.25
"1497",1985,"Vermont",26000,279292,4.7,3.35
"1498",1986,"Vermont",24599,288437,4.3,3.35
"1499",1987,"Vermont",25415,295016,3.8,3.35
"1500",1988,"Vermont",28988,299207,2.9,3.55
"1501",1989,"Vermont",31295,304839,3.6,3.55
"1502",1990,"Vermont",31098,306921,4.6,3.55
"1503",1991,"Vermont",29155,306712,6,3.85
"1504",1992,"Vermont",32755,311639,6.3,4.25
"1505",1993,"Vermont",31065,314921,5.2,4.25
"1506",1994,"Vermont",35802,315838,4.4,4.25
"1507",1995,"Vermont",33824,319912,4.2,4.25
"1508",1996,"Vermont",32358,325433,4.3,4.75
"1509",1997,"Vermont",35053,330291,3.9,5
"1510",1998,"Vermont",39372,334506,3.5,5.25
"1511",1999,"Vermont",41584,337475,3.1,5.25
"1512",2000,"Vermont",39594,334121,2.8,5.75
"1513",2001,"Vermont",40794,338085,3.3,6.25
"1514",2002,"Vermont",42999,343303,3.7,6.25
"1515",2003,"Vermont",43261,346330,4.5,6.25
"1516",2004,"Vermont",47329,347299,3.7,6.75
"1517",2005,"Vermont",50704,349540,3.4,7
"1518",2006,"Vermont",51981,355336,3.7,7.25
"1519",2007,"Vermont",47390,353341,3.9,7.53
"1520",2008,"Vermont",50706,353990,4.5,7.68
"1521",2009,"Vermont",52318,359348,6.2,8.06
"1522",2010,"Vermont",55928,359712,6.3,8.06
"1523",2011,"Vermont",51862,357624,5.7,8.15
"1524",2012,"Vermont",55582,353974,4.9,8.46
"1525",2013,"Vermont",65513,350256,4.5,8.6
"1526",2014,"Vermont",60708,348751,4,8.73
"1527",2015,"Vermont",59494,346508,3.5,9.15
"1528",2016,"Vermont",60837,345856,3.1,9.6
"1529",2017,"Vermont",63682,347080,3,10
"1530",2018,"Vermont",70066,346733,2.7,10.5
"1531",1985,"Virginia",28429,2865951,5.6,3.35
"1532",1986,"Virginia",29715,2919032,5,3.35
"1533",1987,"Virginia",29996,3004069,4.2,3.35
"1534",1988,"Virginia",32648,3083977,3.9,3.35
"1535",1989,"Virginia",34118,3143799,3.9,3.35
"1536",1990,"Virginia",35073,3233167,4.2,3.35
"1537",1991,"Virginia",36137,3320933,5.8,3.8
"1538",1992,"Virginia",38198,337670,6.3,4.25
"1539",1993,"Virginia",36433,3370561,5.2,4.25
"1540",1994,"Virginia",37647,3414904,4.9,4.25
"1541",1995,"Virginia",36222,3446936,4.5,4.25
"1542",1996,"Virginia",39211,3439156,4.3,4.25
"1543",1997,"Virginia",42957,3464586,3.8,4.75
"1544",1998,"Virginia",43354,3500611,2.7,5.15
"1545",1999,"Virginia",45693,3555885,2.7,5.15
"1546",2000,"Virginia",47163,3607019,2.3,5.15
"1547",2001,"Virginia",50241,3680397,3.1,5.15
"1548",2002,"Virginia",49631,3740188,4.4,5.15
"1549",2003,"Virginia",54783,3771768,4.4,5.15
"1550",2004,"Virginia",51141,3813626,4.1,5.15
"1551",2005,"Virginia",51914,3906976,3.9,5.15
"1552",2006,"Virginia",57119,3976425,3.3,5.15
"1553",2007,"Virginia",59161,4099584,3.2,5.15
"1554",2008,"Virginia",61985,4128723,4.1,5.85
"1555",2009,"Virginia",60501,4136974,6.9,6.55
"1556",2010,"Virginia",60367,4163301,7.3,7.25
"1557",2011,"Virginia",62616,4204665,6.6,7.25
"1558",2012,"Virginia",64632,4218175,6,7.25
"1559",2013,"Virginia",65907,4239442,5.6,7.25
"1560",2014,"Virginia",66155,4258966,5.2,7.25
"1561",2015,"Virginia",61486,4233488,4.4,7.25
"1562",2016,"Virginia",66451,4254961,4,7.25
"1563",2017,"Virginia",70811,4333468,3.7,7.25
"1564",2018,"Virginia",77151,4361200,2.9,7.25
"1565",1985,"Washington",24000,2107254,8.3,3.35
"1566",1986,"Washington",26881,2184886,8.2,3.35
"1567",1987,"Washington",27319,2261017,7.2,3.35
"1568",1988,"Washington",32327,2334565,6.3,3.35
"1569",1989,"Washington",31961,2447463,6,3.35
"1570",1990,"Washington",32112,2522237,5,3.35
"1571",1991,"Washington",33970,2559405,6,4.25
"1572",1992,"Washington",33900,2645929,7.1,4.25
"1573",1993,"Washington",35655,2700588,7.4,4.25
"1574",1994,"Washington",33533,2741161,6.3,4.25
"1575",1995,"Washington",35568,2803884,6.3,4.25
"1576",1996,"Washington",36676,2893479,6,4.9
"1577",1997,"Washington",44562,2970394,4.9,4.9
"1578",1998,"Washington",47421,3032420,4.8,5.15
"1579",1999,"Washington",45473,3063529,4.9,5.15
"1580",2000,"Washington",42525,3087357,5.1,6.5
"1581",2001,"Washington",42490,3085255,5.8,6.72
"1582",2002,"Washington",45183,3101306,7.1,6.9
"1583",2003,"Washington",47508,3135393,7.4,7.01
"1584",2004,"Washington",49922,3188762,6.3,7.16
"1585",2005,"Washington",50646,3259986,5.6,7.35
"1586",2006,"Washington",54723,3330080,5.1,7.63
"1587",2007,"Washington",58080,3401944,4.5,7.93
"1588",2008,"Washington",56631,3474761,5.2,8.07
"1589",2009,"Washington",60392,3464213,8.3,8.55
"1590",2010,"Washington",56163,3457982,9,8.55
"1591",2011,"Washington",56850,3438842,8.6,8.67
"1592",2012,"Washington",62187,4367974,8,9.04
"1593",2013,"Washington",63922,3460668,6.7,9.19
"1594",2014,"Washington",59068,3494824,5.9,9.32
"1595",2015,"Washington",67243,3555226,5.4,9.47
"1596",2016,"Washington",70310,3649333,5.3,9.47
"1597",2017,"Washington",71540,3724840,4.6,11
"1598",2018,"Washington",79726,3811658,4.3,11.5
"1599",1985,"West Virginia",15983,752407,13.3,3.35
"1600",1986,"West Virginia",16464,747077,12.3,3.35
"1601",1987,"West Virginia",17207,741708,11,3.35
"1602",1988,"West Virginia",19353,741072,10,3.35
"1603",1989,"West Virginia",21677,760515,8.8,3.35
"1604",1990,"West Virginia",22137,769531,8.2,3.35
"1605",1991,"West Virginia",23147,780847,10.6,3.8
"1606",1992,"West Virginia",20271,787334,11.3,4.25
"1607",1993,"West Virginia",22421,784405,10.5,4.25
"1608",1994,"West Virginia",23564,787088,8.9,4.25
"1609",1995,"West Virginia",24880,786741,8.1,4.25
"1610",1996,"West Virginia",25247,790931,7.5,4.25
"1611",1997,"West Virginia",27488,790854,6.9,4.75
"1612",1998,"West Virginia",26704,795322,6.7,5.15
"1613",1999,"West Virginia",29297,799311,6.6,5.15
"1614",2000,"West Virginia",29411,7999165,5.6,5.15
"1615",2001,"West Virginia",29673,796554,5.2,5.15
"1616",2002,"West Virginia",29359,798758,6.5,5.15
"1617",2003,"West Virginia",32763,791748,6.7,5.15
"1618",2004,"West Virginia",33373,789351,5.7,5.15
"1619",2005,"West Virginia",36445,794511,5.4,5.15
"1620",2006,"West Virginia",38419,804817,5.3,5.15
"1621",2007,"West Virginia",42091,804399,4.7,5.85
"1622",2008,"West Virginia",37994,806440,4.4,6.55
"1623",2009,"West Virginia",40490,811495,8.7,7.25
"1624",2010,"West Virginia",42777,809945,8.5,7.25
"1625",2011,"West Virginia",41821,806350,7.8,7.25
"1626",2012,"West Virginia",43553,808227,7.4,7.25
"1627",2013,"West Virginia",43069,799661,6.6,7.25
"1628",2014,"West Virginia",39552,795676,6.5,7.25
"1629",2015,"West Virginia",42824,791618,6.8,8
"1630",2016,"West Virginia",44354,785059,6.2,8.75
"1631",2017,"West Virginia",46957,783680,5.1,8.75
"1632",2018,"West Virginia",50573,793417,5.2,8.75
"1633",1985,"Wisconsin",23246,2396802,7.2,3.35
"1634",1986,"Wisconsin",26430,2432021,6.9,3.35
"1635",1987,"Wisconsin",26369,2491086,5.7,3.35
"1636",1988,"Wisconsin",29575,2549549,4.3,3.35
"1637",1989,"Wisconsin",29123,2594217,4.4,3.35
"1638",1990,"Wisconsin",30711,2598427,4.1,3.35
"1639",1991,"Wisconsin",31133,2629675,5.4,3.8
"1640",1992,"Wisconsin",33308,2695903,5.2,4.25
"1641",1993,"Wisconsin",31766,2748930,4.2,4.25
"1642",1994,"Wisconsin",35388,2821101,4.3,4.25
"1643",1995,"Wisconsin",40955,2871706,3.7,4.25
"1644",1996,"Wisconsin",40001,2920345,3.6,4.25
"1645",1997,"Wisconsin",39595,2955505,3.6,4.75
"1646",1998,"Wisconsin",41327,2967252,3.2,5.15
"1647",1999,"Wisconsin",45667,2958513,3,5.15
"1648",2000,"Wisconsin",45088,2986286,3.4,5.15
"1649",2001,"Wisconsin",45346,3017444,4.3,5.15
"1650",2002,"Wisconsin",45903,3017467,5.3,5.15
"1651",2003,"Wisconsin",46269,3044681,5.8,5.15
"1652",2004,"Wisconsin",45732,3034066,5,5.15
"1653",2005,"Wisconsin",44650,3029179,4.7,5.15
"1654",2006,"Wisconsin",51692,3066484,4.6,5.7
"1655",2007,"Wisconsin",51277,3087839,4.8,6.5
"1656",2008,"Wisconsin",51200,3099608,4.6,6.5
"1657",2009,"Wisconsin",51237,3113291,9.4,6.55
"1658",2010,"Wisconsin",50351,3082061,8.4,7.25
"1659",2011,"Wisconsin",52058,3071377,7.6,7.25
"1660",2012,"Wisconsin",53079,3070074,7,7.25
"1661",2013,"Wisconsin",51726,3077898,6.7,7.25
"1662",2014,"Wisconsin",58080,3077936,5.4,7.25
"1663",2015,"Wisconsin",55425,3084138,4.4,7.25
"1664",2016,"Wisconsin",59817,3110443,3.9,7.25
"1665",2017,"Wisconsin",63482,3122091,3.3,7.25
"1666",2018,"Wisconsin",62629,3106302,3,7.25
"1667",1985,"Wyoming",22081,253895,7,3.35
"1668",1986,"Wyoming",23559,251436,8.7,3.35
"1669",1987,"Wyoming",27590,242984,8,3.35
"1670",1988,"Wyoming",26419,239013,6.3,3.35
"1671",1989,"Wyoming",29521,238557,6.2,3.35
"1672",1990,"Wyoming",29460,237137,5,3.35
"1673",1991,"Wyoming",29050,236823,4.8,3.8
"1674",1992,"Wyoming",30209,239165,5.5,4.25
"1675",1993,"Wyoming",29442,243420,5.4,4.25
"1676",1994,"Wyoming",33140,249785,4.9,4.25
"1677",1995,"Wyoming",31529,253184,4.8,4.25
"1678",1996,"Wyoming",30953,255093,5,4.25
"1679",1997,"Wyoming",33423,256186,4.8,4.75
"1680",1998,"Wyoming",35250,260317,4.8,5.15
"1681",1999,"Wyoming",37248,263810,4.8,5.15
"1682",2000,"Wyoming",39629,265725,3.7,5.15
"1683",2001,"Wyoming",39719,268293,3.8,5.15
"1684",2002,"Wyoming",39763,269453,4,5.15
"1685",2003,"Wyoming",42555,272751,4.4,5.15
"1686",2004,"Wyoming",45397,274688,3.8,5.15
"1687",2005,"Wyoming",44718,279077,3.6,5.15
"1688",2006,"Wyoming",47041,284853,3,5.15
"1689",2007,"Wyoming",48744,290973,2.7,5.15
"1690",2008,"Wyoming",53337,296552,2.8,5.85
"1691",2009,"Wyoming",52470,299961,6.5,6.55
"1692",2010,"Wyoming",52201,301903,6.8,7.25
"1693",2011,"Wyoming",54509,302860,6,7.25
"1694",2012,"Wyoming",57512,303803,5.6,7.25
"1695",2013,"Wyoming",67441,302209,4.7,7.25
"1696",2014,"Wyoming",55690,302865,4.4,7.25
"1697",2015,"Wyoming",60925,301677,4.2,7.25
"1698",2016,"Wyoming",57829,300464,5.6,7.25
"1699",2017,"Wyoming",59536,295906,4.1,7.25
"1700",2018,"Wyoming",62539,294851,4,7.25
