,years,state,labor.pop
902,2002,Nebraska, 952937
903,2003,Nebraska, 967038
904,2004,Nebraska, 973636
905,2005,Nebraska, 972759
906,2006,Nebraska, 971430
907,2007,Nebraska, 979043
908,2008,Nebraska, 987537
909,2009,Nebraska, 987855
910,2010,Nebraska, 992010
911,2011,Nebraska, 1003635
912,2012,Nebraska, 1012807
913,2013,Nebraska, 1014830
914,2014,Nebraska, 1012727
915,2015,Nebraska, 1011666
916,2016,Nebraska, 1016062
917,2017,Nebraska, 1016584
918,2018,Nebraska, 1027012
919,1985,Nevada, 516723
920,1986,Nevada, 532673
921,1987,Nevada, 556425
922,1988,Nevada, 580041
923,1989,Nevada, 603057
924,1990,Nevada, 666660
925,1991,Nevada, 700244
926,1992,Nevada, 728804
927,1993,Nevada, 767479
928,1994,Nevada, 811686
929,1995,Nevada, 848459
930,1996,Nevada, 894549
931,1997,Nevada, 946126
932,1998,Nevada, 978179
933,1999,Nevada, 1023749
934,2000,Nevada, 1070842
935,2001,Nevada, 1113234
936,2002,Nevada, 1134187
937,2003,Nevada, 1150288
938,2004,Nevada, 1178490
939,2005,Nevada, 1228415
940,2006,Nevada, 1291540
941,2007,Nevada, 1344378
942,2008,Nevada, 1373089
943,2009,Nevada, 1367831
944,2010,Nevada, 1358413
945,2011,Nevada, 1360624
946,2012,Nevada, 1366620
947,2013,Nevada, 1370940
948,2014,Nevada, 1380092
949,2015,Nevada, 1396826
950,2016,Nevada, 1414406
951,2017,Nevada, 1453013
952,2018,Nevada, 1505648
953,1985,New Hampshire, 539175
954,1986,New Hampshire, 559614
955,1987,New Hampshire, 580488
956,1988,New Hampshire, 593601
957,1989,New Hampshire, 607345
958,1990,New Hampshire, 622736
959,1991,New Hampshire, 619860
960,1992,New Hampshire, 618087
961,1993,New Hampshire, 620533
962,1994,New Hampshire, 625801
963,1995,New Hampshire, 632445
964,1996,New Hampshire, 636306
965,1997,New Hampshire, 652767
966,1998,New Hampshire, 661926
967,1999,New Hampshire, 675588
968,2000,New Hampshire, 685929
969,2001,New Hampshire, 691843
970,2002,New Hampshire, 700545
971,2003,New Hampshire, 708855
972,2004,New Hampshire, 715439
973,2005,New Hampshire, 726007
974,2006,New Hampshire, 732449
975,2007,New Hampshire, 738037
976,2008,New Hampshire, 742982
977,2009,New Hampshire, 739833
978,2010,New Hampshire, 739305
979,2011,New Hampshire, 736690 
980,2012,New Hampshire, 740956
981,2013,New Hampshire, 743243
982,2014,New Hampshire, 743873
983,2015,New Hampshire, 746323
984,2016,New Hampshire, 752466
985,2017,New Hampshire, 755046
986,2018,New Hampshire, 764470
987,1985,New Jersey, 3832148
988,1986,New Jersey, 3898561
989,1987,New Jersey, 3953962
990,1988,New Jersey, 3971901
991,1989,New Jersey, 3995608
992,1990,New Jersey, 4059067
993,1991,New Jersey, 4064717
994,1992,New Jersey, 4057733
995,1993,New Jersey, 4026911
996,1994,New Jersey, 4067281
997,1995,New Jersey, 4115858
998,1996,New Jersey, 4184248
999,1997,New Jersey, 4249256
1000,1998,New Jersey, 4235754
1001,1999,New Jersey, 4283072
1002,2000,New Jersey, 4287646
1003,2001,New Jersey, 4293853
1004,2002,New Jersey, 4345566
1005,2003,New Jersey, 4343705
1006,2004,New Jersey, 4347456
1007,2005,New Jersey, 4387117
1008,2006,New Jersey, 4436419
1009,2007,New Jersey, 4437068
1010,2008,New Jersey, 4495633
1011,2009,New Jersey, 4541223
1012,2010,New Jersey, 4559402
1013,2011,New Jersey, 4561839
1014,2012,New Jersey, 4577200
1015,2013,New Jersey, 4528301
1016,2014,New Jersey, 4493706
1017,2015,New Jersey, 4494823
1018,2016,New Jersey, 4493227
1019,2017,New Jersey, 4476068
1020,2018,New Jersey, 4455438
1021,1985,New Mexico, 650080
1022,1986,New Mexico, 668803
1023,1987,New Mexico, 676268
1024,1988,New Mexico, 683227
1025,1989,New Mexico, 694040
1026,1990,New Mexico, 711133
1027,1991,New Mexico, 723043
1028,1992,New Mexico, 736981
1029,1993,New Mexico, 756795
1030,1994,New Mexico, 778762
1031,1995,New Mexico, 796809
1032,1996,New Mexico, 812910
1033,1997,New Mexico, 820901
1034,1998,New Mexico, 834741
1035,1999,New Mexico, 836561
1036,2000,New Mexico, 846257
1037,2001,New Mexico, 854947
1038,2002,New Mexico, 866904
1039,2003,New Mexico, 880068
1040,2004,New Mexico, 890303
1041,2005,New Mexico, 905867
1042,2006,New Mexico, 914512
1043,2007,New Mexico, 920703
1044,2008,New Mexico, 933711
1045,2009,New Mexico, 928570
1046,2010,New Mexico, 928856
1047,2011,New Mexico, 925003
1048,2012,New Mexico, 928736
1049,2013,New Mexico, 929670
1050,2014,New Mexico, 932024
1051,2015,New Mexico, 938333
1052,2016,New Mexico, 944335
1053,2017,New Mexico, 946280
1054,2018,New Mexico, 947656
1055,1985,New York, 8246931
1056,1986,New York, 8428002
1057,1987,New York, 8483934
1058,1988,New York, 8549128
1059,1989,New York, 8681789
1060,1990,New York, 8830304
1061,1991,New York, 8747357
1062,1992,New York, 8751014
1063,1993,New York, 8733960
1064,1994,New York, 8685754
1065,1995,New York, 8668345
1066,1996,New York, 8793002
1067,1997,New York, 9027059
1068,1998,New York, 9074726
1069,1999,New York, 9116535
1070,2000,New York, 9139913
1071,2001,New York, 9125816
1072,2002,New York, 9295903
1073,2003,New York, 9283230
1074,2004,New York, 9355759
1075,2005,New York, 9457442
1076,2006,New York, 9520289
1077,2007,New York, 9511592
1078,2008,New York, 9641699
1079,2009,New York, 9666237
1080,2010,New York, 9630597
1081,2011,New York, 9536218
1082,2012,New York, 9603853
1083,2013,New York, 9634653
1084,2014,New York, 9524310
1085,2015,New York, 9536782
1086,2016,New York, 9528079
1087,2017,New York, 9549174
1088,2018,New York, 9509711
1089,1985,North Carolina, 3109858
1090,1986,North Carolina, 3187556
1091,1987,North Carolina, 3272820
1092,1988,North Carolina, 3330503
1093,1989,North Carolina, 3392278
1094,1990,North Carolina, 3477511
1095,1991,North Carolina, 3539215
1096,1992,North Carolina, 3602584
1097,1993,North Carolina, 3622938
1098,1994,North Carolina, 3679424
1099,1995,North Carolina, 3754213
1100,1996,North Carolina, 3880886
1101,1997,North Carolina, 3962718
1102,1998,North Carolina, 3973794
1103,1999,North Carolina, 4045544
1104,2000,North Carolina, 4129133
1105,2001,North Carolina, 4191413
1106,2002,North Carolina, 4208892
1107,2003,North Carolina, 4284754
1108,2004,North Carolina, 4287821
1109,2005,North Carolina, 4348615
1110,2006,North Carolina, 4460501
1111,2007,North Carolina, 4530066
1112,2008,North Carolina, 4579720
1113,2009,North Carolina, 4615325
1114,2010,North Carolina, 4632282
1115,2011,North Carolina, 4657681
1116,2012,North Carolina, 4719446
1117,2013,North Carolina, 4701307
1118,2014,North Carolina, 4698855
1119,2015,North Carolina, 4763513
1120,2016,North Carolina, 4845052
1121,2017,North Carolina, 4928318
1122,2018,North Carolina, 4987679
1123,1985,North Dakota, 329306
1124,1986,North Dakota, 331550
1125,1987,North Dakota, 330907
1126,1988,North Dakota, 330706
1127,1989,North Dakota, 329422
1128,1990,North Dakota, 316765
1129,1991,North Dakota, 316524
1130,1992,North Dakota, 317182
1131,1993,North Dakota, 321777
1132,1994,North Dakota, 338191
1133,1995,North Dakota, 341415
1134,1996,North Dakota, 347228
1135,1997,North Dakota, 349045
1136,1998,North Dakota, 347156
1137,1999,North Dakota, 342793
1138,2000,North Dakota, 342827
1139,2001,North Dakota, 342458
1140,2002,North Dakota, 342492
1141,2003,North Dakota, 347062
1142,2004,North Dakota, 353598
1143,2005,North Dakota, 356413
1144,2006,North Dakota, 362678
1145,2007,North Dakota, 367631
1146,2008,North Dakota, 371860
1147,2009,North Dakota, 370413
1148,2010,North Dakota, 379036
1149,2011,North Dakota, 387365
1150,2012,North Dakota, 395525
1151,2013,North Dakota, 401528
1152,2014,North Dakota, 409472
1153,2015,North Dakota, 410835
1154,2016,North Dakota, 411872
1155,2017,North Dakota, 410958
1156,2018,North Dakota, 497466
1157,1985,Ohio, 5141792
1158,1986,Ohio, 5222226
1159,1987,Ohio, 5264758
1160,1988,Ohio, 5325983
1161,1989,Ohio, 5407083
1162,1990,Ohio, 5407049
1163,1991,Ohio, 5418918
1164,1992,Ohio, 5496287
1165,1993,Ohio, 5509014
1166,1994,Ohio, 5565277
1167,1995,Ohio, 5602973
1168,1996,Ohio, 5662639
1169,1997,Ohio, 5718408
1170,1998,Ohio, 5715057
1171,1999,Ohio, 5759170
1172,2000,Ohio, 5782840
1173,2001,Ohio, 5820309
1174,2002,Ohio, 5829596
1175,2003,Ohio, 5861316
1176,2004,Ohio, 5850977
1177,2005,Ohio, 5880798
1178,2006,Ohio, 5957178
1179,2007,Ohio, 6017264
1180,2008,Ohio, 6003679
1181,2009,Ohio, 5906430
1182,2010,Ohio, 5870336
1183,2011,Ohio, 5774213
1184,2012,Ohio, 5712908
1185,2013,Ohio, 5707087
1186,2014,Ohio, 5712911
1187,2015,Ohio, 5712032
1188,2016,Ohio, 5755684
1189,2017,Ohio, 5795194
1190,2018,Ohio, 5791619
1191,1985,Oklahoma, 1557114
1192,1986,Oklahoma, 1580973
1193,1987,Oklahoma, 1551717
1194,1988,Oklahoma, 1525023
1195,1989,Oklahoma, 1524857
1196,1990,Oklahoma, 1519861
1197,1991,Oklahoma, 1512829
1198,1992,Oklahoma, 1526013
1199,1993,Oklahoma, 1535024
1200,1994,Oklahoma, 1551959
1201,1995,Oklahoma, 1560690
1202,1996,Oklahoma, 1586200
1203,1997,Oklahoma, 1608558
1204,1998,Oklahoma, 1635194
1205,1999,Oklahoma, 1655474
1206,2000,Oklahoma, 1656000
1207,2001,Oklahoma, 1672118
1208,2002,Oklahoma, 1685811
1209,2003,Oklahoma, 1686353
1210,2004,Oklahoma, 1689956
1211,2005,Oklahoma, 1709121
1212,2006,Oklahoma, 1714593
1213,2007,Oklahoma, 1723459
1214,2008,Oklahoma, 1741055
1215,2009,Oklahoma, 1770111
1216,2010,Oklahoma, 1764991
1217,2011,Oklahoma, 1767019
1218,2012,Oklahoma, 1795153
1219,2013,Oklahoma, 1800031
1220,2014,Oklahoma, 1798113
1221,2015,Oklahoma, 1828996
1222,2016,Oklahoma, 1827953
1223,2017,Oklahoma, 1831638
1224,2018,Oklahoma, 1838239
1225,1985,Oregon, 1327079
1226,1986,Oregon, 1363559
1227,1987,Oregon, 1394016
1228,1988,Oregon, 1431319
1229,1989,Oregon, 1469468
1230,1990,Oregon, 1494905
1231,1991,Oregon, 1516779
1232,1992,Oregon, 1557808
1233,1993,Oregon, 1602024
1234,1994,Oregon, 1642098
1235,1995,Oregon, 1883422
1236,1996,Oregon, 1712893
1237,1997,Oregon, 1745716
1238,1998,Oregon, 1777922
1239,1999,Oregon, 1787478
1240,2000,Oregon, 1812392
1241,2001,Oregon, 1815258
1242,2002,Oregon, 1834441
1243,2003,Oregon, 1845613
1244,2004,Oregon, 1845138
1245,2005,Oregon, 1848993
1246,2006,Oregon, 1881739
1247,2007,Oregon, 1911018
1248,2008,Oregon, 1947108
1249,2009,Oregon, 1968779
1250,2010,Oregon, 1991085
1251,2011,Oregon, 1995729
1252,2012,Oregon, 1964764
1253,2013,Oregon, 1925209
1254,2014,Oregon, 1949607
1255,2015,Oregon, 1979732
1256,2016,Oregon, 2042641
1257,2017,Oregon, 2081388
1258,2018,Oregon, 2087672
1259,1985,Pennsylvania, 5548039
1260,1986,Pennsylvania, 5623241
1261,1987,Pennsylvania, 5663240
1262,1988,Pennsylvania, 5761303
1263,1989,Pennsylvania, 5834411
1264,1990,Pennsylvania, 5813005
1265,1991,Pennsylvania, 5844175
1266,1992,Pennsylvania, 5895352
1267,1993,Pennsylvania, 5897937
1268,1994,Pennsylvania, 5891901
1269,1995,Pennsylvania, 5900946
1270,1996,Pennsylvania, 5985631
1271,1997,Pennsylvania, 6061116
1272,1998,Pennsylvania, 6066043
1273,1999,Pennsylvania, 6094374
1274,2000,Pennsylvania, 6106998
1275,2001,Pennsylvania, 6177827
1276,2002,Pennsylvania, 6213768
1277,2003,Pennsylvania, 6157694
1278,2004,Pennsylvania, 6211706
1279,2005,Pennsylvania, 6256787
1280,2006,Pennsylvania, 6298176
1281,2007,Pennsylvania, 6347445
1282,2008,Pennsylvania, 6440679
1283,2009,Pennsylvania, 6402933
1284,2010,Pennsylvania, 6358834
1285,2011,Pennsylvania, 6380658
1286,2012,Pennsylvania, 6449657
1287,2013,Pennsylvania, 6421174
1288,2014,Pennsylvania, 6388980
1289,2015,Pennsylvania, 6423542
1290,2016,Pennsylvania, 6459696
1291,2017,Pennsylvania, 6420767
1292,2018,Pennsylvania, 6432204
1293,1985,Rhode Island, 4985634
1294,1986,Rhode Island, 505875
1295,1987,Rhode Island, 514212
1296,1988,Rhode Island, 516750
1297,1989,Rhode Island, 518905
1298,1990,Rhode Island, 523457
1299,1991,Rhode Island, 525340
1300,1992,Rhode Island, 530184
1301,1993,Rhode Island, 524322
1302,1994,Rhode Island, 514709
1303,1995,Rhode Island, 511702
1304,1996,Rhode Island, 518494
1305,1997,Rhode Island, 531522
1306,1998,Rhode Island, 532199
1307,1999,Rhode Island, 539991
1308,2000,Rhode Island, 542661
1309,2001,Rhode Island, 541657
1310,2002,Rhode Island, 550395
1311,2003,Rhode Island, 560631
1312,2004,Rhode Island, 555610
1313,2005,Rhode Island, 563342
1314,2006,Rhode Island, 571605
1315,2007,Rhode Island, 571058
1316,2008,Rhode Island, 568367
1317,2009,Rhode Island, 571261
1318,2010,Rhode Island, 571356
1319,2011,Rhode Island, 561982
1320,2012,Rhode Island, 560314
1321,2013,Rhode Island, 558853
1322,2014,Rhode Island, 556751
1323,2015,Rhode Island, 555147
1324,2016,Rhode Island, 553421
1325,2017,Rhode Island, 555791
1326,2018,Rhode Island, 558216
1327,1985,South Carolina, 1548854
1328,1986,South Carolina, 1592257
1329,1987,South Carolina, 1631575
1330,1988,South Carolina, 1660897
1331,1989,South Carolina, 1693311
1332,1990,South Carolina, 1737923
1333,1991,South Carolina, 1767197
1334,1992,South Carolina, 1799854
1335,1993,South Carolina, 1826920
1336,1994,South Carolina, 1841009
1337,1995,South Carolina, 1863859
1338,1996,South Carolina, 1886509
1339,1997,South Carolina, 1920584
1340,1998,South Carolina, 1941152
1341,1999,South Carolina, 1958587
1342,2000,South Carolina, 1965860
1343,2001,South Carolina, 1941372
1344,2002,South Carolina, 1954964
1345,2003,South Carolina, 1999162
1346,2004,South Carolina, 2043292
1347,2005,South Carolina, 2070940
1348,2006,South Carolina, 2148866
1349,2007,South Carolina, 2155184
1350,2008,South Carolina, 2160368
1351,2009,South Carolina, 2167345
1352,2010,South Carolina, 2173901
1353,2011,South Carolina, 2185412
1354,2012,South Carolina, 2190562
1355,2013,South Carolina, 2198242
1356,2014,South Carolina, 2222607
1357,2015,South Carolina, 2268262
1358,2016,South Carolina, 2286257
1359,2017,South Carolina, 2297098
1360,2018,South Carolina, 2320516
1361,1985,South Dakota, 346068
1362,1986,South Dakota, 350082
1363,1987,South Dakota, 352715
1364,1988,South Dakota, 357016
1365,1989,South Dakota, 360911
1366,1990,South Dakota, 349285
1367,1991,South Dakota, 354237
1368,1992,South Dakota, 360919
1369,1993,South Dakota, 367202
1370,1994,South Dakota, 376541
1371,1995,South Dakota, 385627
1372,1996,South Dakota, 390461
1373,1997,South Dakota, 393946
1374,1998,South Dakota, 398060
1375,1999,South Dakota, 403472
1376,2000,South Dakota, 408507
1377,2001,South Dakota, 413393
1378,2002,South Dakota, 416897
1379,2003,South Dakota, 421433
1380,2004,South Dakota, 425939
1381,2005,South Dakota, 429250
1382,2006,South Dakota, 432784
1383,2007,South Dakota, 366374
1384,2008,South Dakota, 439213
1385,2009,South Dakota, 441458
1386,2010,South Dakota, 443635
1387,2011,South Dakota, 445800
1388,2012,South Dakota, 447124
1389,2013,South Dakota, 447596
1390,2014,South Dakota, 450720
1391,2015,South Dakota, 453124
1392,2016,South Dakota, 455103
1393,2017,South Dakota, 456796
1394,2018,South Dakota, 458909
1395,1985,Tennessee, 2252721
1396,1986,Tennessee, 2293188
1397,1987,Tennessee, 2330070
1398,1988,Tennessee, 2334524
1399,1989,Tennessee, 2363359
1400,1990,Tennessee, 2397807
1401,1991,Tennessee, 2419414
1402,1992,Tennessee, 2468144
1403,1993,Tennessee, 2535429
1404,1994,Tennessee, 2656783
1405,1995,Tennessee, 2723814
1406,1996,Tennessee, 2762709
1407,1997,Tennessee, 2780898
1408,1998,Tennessee, 2810728
1409,1999,Tennessee, 2844169
1410,2000,Tennessee, 2849349
1411,2001,Tennessee, 2857508
1412,2002,Tennessee, 2898824
1413,2003,Tennessee, 2904921
1414,2004,Tennessee, 2895817
1415,2005,Tennessee, 2899068
1416,2006,Tennessee, 3014542
1417,2007,Tennessee, 3043346
1418,2008,Tennessee, 3061115
1419,2009,Tennessee, 3033549
1420,2010,Tennessee, 3093426
1421,2011,Tennessee, 3116957
1422,2012,Tennessee, 3096360
1423,2013,Tennessee, 3079368
1424,2014,Tennessee, 3043608
1425,2015,Tennessee, 3074360
1426,2016,Tennessee, 3136742
1427,2017,Tennessee, 3167010
1428,2018,Tennessee, 3251398
1429,1985,Texas, 8081938
1430,1986,Texas, 8174323
1431,1987,Texas, 8275364
1432,1988,Texas, 8351637
1433,1989,Texas, 8452252
1434,1990,Texas, 8607913
1435,1991,Texas, 8770370
1436,1992,Texas, 8999534
1437,1993,Texas, 9167771
1438,1994,Texas, 9395665
1439,1995,Texas, 9676081
1440,1996,Texas, 9728404
1441,1997,Texas, 9916036
1442,1998,Texas, 10116789
1443,1999,Texas, 10268397
1444,2000,Texas, 10388754
1445,2001,Texas, 10536998
1446,2002,Texas, 10743347
1447,2003,Texas, 10909403
1448,2004,Texas, 10995044
1449,2005,Texas, 11172304
1450,2006,Texas, 11335465
1451,2007,Texas, 11441627
1452,2008,Texas, 11678849
1453,2009,Texas, 11948191
1454,2010,Texas, 12258425
1455,2011,Texas, 12500076
1456,2012,Texas, 12641404
1457,2013,Texas, 12833158
1458,2014,Texas, 13006808
1459,2015,Texas, 13091904
1460,2016,Texas, 13348141
1461,2017,Texas, 13572514
1462,2018,Texas, 13811799
1463,1985,Utah, 733309
1464,1986,Utah, 751974
1465,1987,Utah, 755883
1466,1988,Utah, 759564
1467,1989,Utah, 786998
1468,1990,Utah, 818466
1469,1991,Utah, 847795
1470,1992,Utah, 882295
1471,1993,Utah, 837150
1472,1994,Utah, 995026
1473,1995,Utah, 1018839
1474,1996,Utah, 1041953
1475,1997,Utah, 1070220
1476,1998,Utah, 1103736
1477,1999,Utah, 1124003
1478,2000,Utah, 1142961
1479,2001,Utah, 1162638
1480,2002,Utah, 1179541
1481,2003,Utah, 1197185
1482,2004,Utah, 1231552
1483,2005,Utah, 1280608
1484,2006,Utah, 1333170
1485,2007,Utah, 1377773
1486,2008,Utah, 1385465
1487,2009,Utah, 1374324
1488,2010,Utah, 1350137
1489,2011,Utah, 1341435
1490,2012,Utah, 1348660
1491,2013,Utah, 1386251
1492,2014,Utah, 1415851
1493,2015,Utah, 1453627
1494,2016,Utah, 1500218
1495,2017,Utah, 1545236
1496,2018,Utah, 1573600
1497,1985,Vermont, 279292
1498,1986,Vermont, 288437
1499,1987,Vermont, 295016
1500,1988,Vermont, 299207
1501,1989,Vermont, 304839
1502,1990,Vermont, 306921
1503,1991,Vermont, 306712
1504,1992,Vermont, 311639
1505,1993,Vermont, 314921
1506,1994,Vermont, 315838
1507,1995,Vermont, 319912
1508,1996,Vermont, 325433
1509,1997,Vermont, 330291
1510,1998,Vermont, 334506
1511,1999,Vermont, 337475
1512,2000,Vermont, 334121
1513,2001,Vermont, 338085
1514,2002,Vermont, 343303
1515,2003,Vermont, 346330
1516,2004,Vermont, 347299
1517,2005,Vermont, 349540
1518,2006,Vermont, 355336
1519,2007,Vermont, 353341
1520,2008,Vermont, 353990
1521,2009,Vermont, 359348
1522,2010,Vermont, 359712
1523,2011,Vermont, 357624
1524,2012,Vermont, 353974
1525,2013,Vermont, 350256
1526,2014,Vermont, 348751
1527,2015,Vermont, 346508
1528,2016,Vermont, 345856
1529,2017,Vermont, 347080
1530,2018,Vermont, 346733
1531,1985,Virginia, 2865951
1532,1986,Virginia, 2919032
1533,1987,Virginia, 3004069
1534,1988,Virginia, 3083977
1535,1989,Virginia, 3143799
1536,1990,Virginia, 3233167
1537,1991,Virginia, 3320933
1538,1992,Virginia, 337670
1539,1993,Virginia, 3370561
1540,1994,Virginia, 3414904
1541,1995,Virginia, 3446936
1542,1996,Virginia, 3439156
1543,1997,Virginia, 3464586
1544,1998,Virginia, 3500611
1545,1999,Virginia, 3555885
1546,2000,Virginia, 3607019
1547,2001,Virginia, 3680397
1548,2002,Virginia, 3740188
1549,2003,Virginia, 3771768
1550,2004,Virginia, 3813626
1551,2005,Virginia, 3906976
1552,2006,Virginia, 3976425
1553,2007,Virginia, 4099584
1554,2008,Virginia, 4128723
1555,2009,Virginia, 4136974
1556,2010,Virginia, 4163301
1557,2011,Virginia, 4204665
1558,2012,Virginia, 4218175
1559,2013,Virginia, 4239442
1560,2014,Virginia, 4258966
1561,2015,Virginia, 4233488
1562,2016,Virginia, 4254961
1563,2017,Virginia, 4333468
1564,2018,Virginia, 4361200
1565,1985,Washington, 2107254
1566,1986,Washington, 2184886
1567,1987,Washington, 2261017
1568,1988,Washington, 2334565
1569,1989,Washington, 2447463
1570,1990,Washington, 2522237
1571,1991,Washington, 2559405
1572,1992,Washington, 2645929
1573,1993,Washington, 2700588
1574,1994,Washington, 2741161
1575,1995,Washington, 2803884
1576,1996,Washington, 2893479
1577,1997,Washington, 2970394
1578,1998,Washington, 3032420
1579,1999,Washington, 3063529
1580,2000,Washington, 3087357
1581,2001,Washington, 3085255
1582,2002,Washington, 3101306
1583,2003,Washington, 3135393
1584,2004,Washington, 3188762
1585,2005,Washington, 3259986
1586,2006,Washington, 3330080
1587,2007,Washington, 3401944
1588,2008,Washington, 3474761
1589,2009,Washington, 3464213
1590,2010,Washington, 3457982
1591,2011,Washington, 3438842
1592,2012,Washington, 4367974
1593,2013,Washington, 3460668
1594,2014,Washington, 3494824
1595,2015,Washington, 3555226
1596,2016,Washington, 3649333
1597,2017,Washington, 3724840
1598,2018,Washington, 3811658
1599,1985,West Virginia, 752407
1600,1986,West Virginia, 747077
1601,1987,West Virginia, 741708
1602,1988,West Virginia, 741072
1603,1989,West Virginia, 760515
1604,1990,West Virginia, 769531
1605,1991,West Virginia, 780847
1606,1992,West Virginia, 787334
1607,1993,West Virginia, 784405
1608,1994,West Virginia, 787088
1609,1995,West Virginia, 786741
1610,1996,West Virginia, 790931
1611,1997,West Virginia, 790854
1612,1998,West Virginia, 795322
1613,1999,West Virginia, 799311
1614,2000,West Virginia, 7999165
1615,2001,West Virginia, 796554
1616,2002,West Virginia, 798758
1617,2003,West Virginia, 791748
1618,2004,West Virginia, 789351
1619,2005,West Virginia, 794511
1620,2006,West Virginia, 804817
1621,2007,West Virginia, 804399
1622,2008,West Virginia, 806440
1623,2009,West Virginia, 811495
1624,2010,West Virginia, 809945
1625,2011,West Virginia, 806350
1626,2012,West Virginia, 808227
1627,2013,West Virginia, 799661
1628,2014,West Virginia, 795676
1629,2015,West Virginia, 791618
1630,2016,West Virginia, 785059
1631,2017,West Virginia, 783680
1632,2018,West Virginia, 793417
1633,1985,Wisconsin, 2396802
1634,1986,Wisconsin, 2432021
1635,1987,Wisconsin, 2491086
1636,1988,Wisconsin, 2549549
1637,1989,Wisconsin, 2594217
1638,1990,Wisconsin, 2598427
1639,1991,Wisconsin, 2629675
1640,1992,Wisconsin, 2695903
1641,1993,Wisconsin, 2748930
1642,1994,Wisconsin, 2821101
1643,1995,Wisconsin, 2871706
1644,1996,Wisconsin, 2920345
1645,1997,Wisconsin, 2955505
1646,1998,Wisconsin, 2967252
1647,1999,Wisconsin, 2958513
1648,2000,Wisconsin, 2986286
1649,2001,Wisconsin, 3017444
1650,2002,Wisconsin, 3017467
1651,2003,Wisconsin, 3044681
1652,2004,Wisconsin, 3034066
1653,2005,Wisconsin, 3029179
1654,2006,Wisconsin, 3066484
1655,2007,Wisconsin, 3087839
1656,2008,Wisconsin, 3099608
1657,2009,Wisconsin, 3113291
1658,2010,Wisconsin, 3082061
1659,2011,Wisconsin, 3071377
1660,2012,Wisconsin, 3070074
1661,2013,Wisconsin, 3077898
1662,2014,Wisconsin, 3077936
1663,2015,Wisconsin, 3084138
1664,2016,Wisconsin, 3110443
1665,2017,Wisconsin, 3122091
1666,2018,Wisconsin, 3106302
1667,1985,Wyoming, 253895
1668,1986,Wyoming, 251436
1669,1987,Wyoming, 242984
1670,1988,Wyoming, 239013
1671,1989,Wyoming, 238557
1672,1990,Wyoming, 237137
1673,1991,Wyoming, 236823
1674,1992,Wyoming, 239165
1675,1993,Wyoming, 243420
1676,1994,Wyoming, 249785
1677,1995,Wyoming, 253184
1678,1996,Wyoming, 255093
1679,1997,Wyoming, 256186
1680,1998,Wyoming, 260317
1681,1999,Wyoming, 263810
1682,2000,Wyoming, 265725
1683,2001,Wyoming, 268293
1684,2002,Wyoming, 269453
1685,2003,Wyoming, 272751
1686,2004,Wyoming, 274688
1687,2005,Wyoming, 279077
1688,2006,Wyoming, 284853
1689,2007,Wyoming, 290973
1690,2008,Wyoming, 296552
1691,2009,Wyoming, 299961
1692,2010,Wyoming, 301903
1693,2011,Wyoming, 302860
1694,2012,Wyoming, 303803
1695,2013,Wyoming, 302209
1696,2014,Wyoming, 302865
1697,2015,Wyoming, 301677
1698,2016,Wyoming, 300464
1699,2017,Wyoming, 295906
1700,2018,Wyoming, 294851
